Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SHLM,"A. Schulman, Inc.",36.25,1068096100,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
ADES,"Advanced Emissions Solutions, Inc.",11.57,244164602.5,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
ASIX,AdvanSix Inc.,44.05,1342774652,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AEGN,Aegion Corp,22.57,745084880,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AMTX,"Aemetis, Inc",0.62,12289926.44,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AEM,Agnico Eagle Mines Limited,44.36,10300980258,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
AGU,Agrium Inc.,107.65,14874771489,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
APD,"Air Products and Chemicals, Inc.",154.22,33613385447,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AKS,AK Steel Holding Corporation,6.19,1948909702,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
AGI,Alamos Gold Inc.,7.11,2137647068,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
AIN,Albany International Corporation,57.7,1852170000,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,140.78,15552351633,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,47.93,8835393769,n/a,2016,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/aa
AXU,Alexco Resource Corp,1.32,133551996.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,4.05,176680683,n/a,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo
ATI,Allegheny Technologies Incorporated,24.62,2680617820,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
AAU,"Almaden Minerals, Ltd.",1.1301,114519940.2,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
ACH,Aluminum Corporation of China Limited,22,13115342438,n/a,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
