"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.96","325065805.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","43.3","182621906.8","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","5.45","1013494616.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","4.5","182852649","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AHGP","Alliance Holdings GP, L.P.","28.15","1685143450","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","20.65","2699042081.05","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"ALDW","Alon USA Partners, LP","11.69","730967844.32","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/aldw",
"AETI","American Electric Technologies, Inc.","1.6","13784430.4","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AEUA","Anadarko Petroleum Corporation","38.2821","0","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aeua",
"APC","Anadarko Petroleum Corporation","49.01","27463152882.49","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apc",
"ANDV","Andeavor","106.56","16719431192.64","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/andv",
"ANDX","Andeavor Logistics LP","45.95","4966052223.5","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","19.46","6139044117.78","n/a","2013","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","41.53","15820194460.43","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","2.3","198954514.9","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"ARCX","Arc Logistic Partners LP","16.65","325439967.6","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/arcx",
"ARCH","Arch Coal, Inc.","75.43","1777174398.54","n/a","2016","Energy","Coal Mining","http://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.5","288029940","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","33.26","38087422853.48","n/a","2017","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/bhge",
"BLDP","Ballard Power Systems, Inc.","4.99","879534620.57","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.924","15925255.84","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","17.27","449506133.23","n/a","2005","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","2.54","594878388.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bte",
"BXE","Bellatrix Exploration Ltd","2.41","119001042.66","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BBL","BHP Billiton plc","36.47","97078816481.5","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BBG","Bill Barrett Corporation","4.54","346309588.3","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bbg",
"BSM","Black Stone Minerals, L.P.","17.35","3401440312.55","n/a","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bsm",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","5.65","215739458.75","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","7.91","238554676.29","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkepp",
"BCEI","Bonanza Creek Energy, Inc.","32.93","672749724.63","n/a","2017","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
