Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MMM,3M Company,221.32,1.32077E+11,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
AAC,"AAC Holdings, Inc.",8.63,207645463.4,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
ABT,Abbott Laboratories,56.32,97852804628,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,96.1,1.53193E+11,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ABEO,Abeona Therapeutics Inc.,19,777332921,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,14.21,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABMD,"ABIOMED, Inc.",174.62,7701120227,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ACIU,AC Immune SA,11.87,675667012.5,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACHC,"Acadia Healthcare Company, Inc.",44.45,3906313161,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,36.32,4445579114,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.3,19156718.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
XLRN,Acceleron Pharma Inc.,36.57,1612388817,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,4.3,360145059.5,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2,90760946,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,17.8144,13172751.19,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer
