Date,Party,Important
1/1/1969,republican,0
2/1/1969,republican,0
3/1/1969,republican,0
4/1/1969,republican,0
5/1/1969,republican,0
6/1/1969,republican,0
7/1/1969,republican,0
8/1/1969,republican,0
9/1/1969,republican,0
10/1/1969,republican,0
11/1/1969,republican,0
12/1/1969,republican,0
1/1/1970,republican,0
2/1/1970,republican,0
3/1/1970,republican,0
4/1/1970,republican,0
5/1/1970,republican,0
6/1/1970,republican,0
7/1/1970,republican,0
8/1/1970,republican,0
9/1/1970,republican,0
10/1/1970,republican,0
11/1/1970,republican,0
12/1/1970,republican,0
1/1/1971,republican,0
2/1/1971,republican,0
3/1/1971,republican,0
4/1/1971,republican,0
5/1/1971,republican,0
6/1/1971,republican,0
7/1/1971,republican,0
8/1/1971,republican,0
9/1/1971,republican,0
10/1/1971,republican,0
11/1/1971,republican,0
12/1/1971,republican,0
1/1/1972,republican,0
2/1/1972,republican,0
3/1/1972,republican,0
4/1/1972,republican,0
5/1/1972,republican,0
6/1/1972,republican,0
7/1/1972,republican,0
8/1/1972,republican,0
9/1/1972,republican,0
10/1/1972,republican,0
11/1/1972,republican,0
12/1/1972,republican,0
1/1/1973,republican,0
2/1/1973,republican,0
3/1/1973,republican,0
4/1/1973,republican,0
5/1/1973,republican,0
6/1/1973,republican,0
7/1/1973,republican,0
8/1/1973,republican,0
9/1/1973,republican,0
10/1/1973,republican,0
11/1/1973,republican,0
12/1/1973,republican,0
1/1/1974,republican,0
2/1/1974,republican,0
3/1/1974,republican,0
4/1/1974,republican,0
5/1/1974,republican,0
6/1/1974,republican,0
7/1/1974,republican,0
8/1/1974,republican,0
9/1/1974,republican,0
10/1/1974,republican,0
11/1/1974,republican,0
12/1/1974,republican,0
1/1/1975,republican,0
2/1/1975,republican,0
3/1/1975,republican,0
4/1/1975,republican,0
5/1/1975,republican,0
6/1/1975,republican,0
7/1/1975,republican,0
8/1/1975,republican,0
9/1/1975,republican,0
10/1/1975,republican,0
11/1/1975,republican,0
12/1/1975,republican,0
1/1/1976,republican,0
2/1/1976,republican,0
3/1/1976,republican,0
4/1/1976,republican,0
5/1/1976,republican,0
6/1/1976,republican,0
7/1/1976,republican,0
8/1/1976,republican,0
9/1/1976,republican,0
10/1/1976,republican,2
11/1/1976,republican,2
12/1/1976,republican,2
1/1/1977,democrat,2
2/1/1977,democrat,2
3/1/1977,democrat,2
